Investment name,10 years p.a.,5 years p.a.,3 years p.a.,1 year p.a.,3 months,1 month,FY to date
Grow - Age 55 and under,9.63%,7.56%,10.46%,8.54%,6.70%,1.32%,8.54%
Manage - Age 56,9.35%,7.38%,10.25%,8.35%,6.53%,1.31%,8.35%
Manage - Age 57,9.07%,7.20%,10.03%,8.16%,6.36%,1.29%,8.16%
Manage - Age 58,8.79%,7.02%,9.82%,7.97%,6.20%,1.28%,7.97%
Manage - Age 59,8.51%,6.84%,9.61%,7.78%,6.03%,1.26%,7.78%
Manage - Age 60,8.22%,6.66%,9.39%,7.59%,5.86%,1.25%,7.59%
Manage - Age 61,7.88%,6.43%,9.08%,7.35%,5.63%,1.23%,7.35%
Manage - Age 62,7.53%,6.21%,8.77%,7.11%,5.41%,1.22%,7.11%
Manage - Age 63,7.19%,5.98%,8.47%,6.86%,5.18%,1.20%,6.86%
Manage - Age 64,6.84%,5.75%,8.16%,6.62%,4.95%,1.19%,6.62%
Enjoy - Age 65 and over,6.49%,5.52%,7.85%,6.38%,4.72%,1.17%,6.38%
,,,,,,,
,,,,,,,
Investment name,10 years p.a.,5 years p.a.,3 years p.a.,1 year p.a.,3 months,1 month,FY to date
High Growth,9.63%,7.56%,10.46%,8.54%,6.70%,1.32%,8.54%
High Growth Socially Conscious,N/A,N/A,11.73%,9.28%,6.64%,1.50%,9.28%
High Growth Indexed,N/A,N/A,13.19%,11.04%,8.10%,1.41%,11.04%
Balanced,8.22%,6.66%,9.39%,7.59%,5.86%,1.25%,7.59%
Balanced Socially Conscious,8.78%,7.76%,10.56%,8.18%,5.93%,1.43%,8.18%
Balanced Indexed,N/A,N/A,11.77%,9.77%,7.16%,1.31%,9.77%
Conservative Balanced,6.49%,5.52%,7.85%,6.38%,4.72%,1.17%,6.38%
Conservative,5.18%,4.46%,6.27%,5.08%,3.41%,1.00%,5.08%
Defensive,4.08%,3.77%,5.55%,4.56%,2.57%,0.78%,4.56%
Australian Shares,9.66%,8.07%,10.68%,6.47%,3.88%,0.59%,6.47%
International Shares,13.24%,12.55%,16.97%,14.15%,12.43%,3.12%,14.15%
Property,5.95%,4.22%,8.60%,13.85%,9.34%,2.47%,13.85%
Bonds,N/A,N/A,3.34%,1.94%,1.77%,0.67%,1.94%
Cash,2.33%,3.16%,4.14%,3.85%,1.03%,0.37%,3.85%
