Name,MonthReturn,QuarterReturn,FYTDReturn,OneYearReturn,ThreeYearReturn,FiveYearReturn,SevenYearReturn,TenYearReturn,Returns Update Date,FYTD Update Date,InvestmentGroup
Balanced,1.15,5.32,-0.4,7.73,8.28,6.36,6.97,7.74,30/06/2026,23/07/2026,Super
Capital Stable,0.72,3.06,-0.21,5.67,6.26,4.37,4.35,4.79,30/06/2026,23/07/2026,Super
Conservative Balanced,0.88,4.17,-0.27,6.63,7.25,5.29,5.38,5.92,30/06/2026,23/07/2026,Super
Sustainable Balanced,1.14,5.86,-0.66,7.66,8.21,6.55,7.29,7.83,30/06/2026,23/07/2026,Super
Alternative Growth,1.15,4.93,-0.2,7.89,8.16,6.46,6.72,7.45,30/06/2026,23/07/2026,Super
Growth,1.2,6.57,-0.42,8.8,9.49,7.25,8.01,8.82,30/06/2026,23/07/2026,Super
Cash,0.37,1.08,0.27,3.89,4.02,2.96,2.3,2.21,30/06/2026,23/07/2026,Super
Fixed Interest,0.71,2.08,-1.02,2.58,3.59,1.09,1.29,1.84,30/06/2026,23/07/2026,Super
Property,0.99,3.27,0.8,6.28,0.16,2.23,2.89,5.35,30/06/2026,23/07/2026,Super
Australian Shares,1.07,5.61,0.06,6.78,9.51,7.9,8.31,9.62,30/06/2026,23/07/2026,Super
Overseas Shares,2.11,11.98,-1.27,12.43,13.9,8.55,10.57,11.15,30/06/2026,23/07/2026,Super
