"Hostplus Superannuation Options - historical monthly net investment returns"
,High Growth,Growth,Balanced,Conservative,Stable,Defensive,Indexed High Growth,Indexed Growth ,Indexed Balanced,Indexed Conservative,Indexed Stable,Indexed Defensive,SRI - High Growth,SRI - Balanced,SRI - Defensive,Cash,Bonds – Indexed,Australian Shares – Indexed,Bonds,Australian Shares,International Shares,International Shares - Indexed
MONTH ENDING,RETURN,RETURN,RETURN,RETURN,RETURN,RETURN,RETURN,RETURN,RETURN,RETURN,RETURN,RETURN,RETURN,RETURN,RETURN,RETURN,RETURN,RETURN,RETURN,RETURN,RETURN,RETURN
31/07/2025,1.7000%,1.4700%,1.0600%,0.8800%,0.4800%,0.3900%,2.3000%,1.9800%,1.7200%,1.2500%,0.8700%,0.5300%,1.3500%,0.8200%,0.4100%,0.3200%,-0.0600%,2.1500%,-0.0600%,2.5100%,1.8100%,2.8300%
31/08/2025,1.7300%,1.5000%,1.2000%,1.0000%,0.7000%,0.5900%,1.9500%,1.8200%,1.6400%,1.2500%,0.9200%,0.6500%,1.7200%,1.3200%,0.5800%,0.2700%,0.3600%,2.7900%,0.5600%,3.2700%,0.9300%,0.8900%
30/09/2025,1.2900%,1.1500%,1.0300%,0.8600%,0.6200%,0.4400%,0.8000%,0.9200%,0.8200%,0.6800%,0.5900%,0.4000%,1.3400%,1.1400%,0.4200%,0.3200%,0.4100%,-0.5900%,0.3500%,-0.0600%,2.5200%,1.8000%
31/10/2025,1.7500%,1.6000%,1.3000%,1.1000%,0.7800%,0.5400%,1.9600%,1.8000%,1.5600%,1.1900%,0.9000%,0.5200%,1.9100%,1.5200%,0.6000%,0.3000%,0.5200%,0.4400%,0.5100%,0.7000%,2.8900%,3.1200%
30/11/2025,-0.3700%,-0.2100%,-0.0200%,0.00%,0.0900%,0.0400%,-0.9500%,-0.7900%,-0.7200%,-0.5200%,-0.3600%,-0.1400%,-0.6000%,-0.3700%,-0.0800%,0.2800%,-0.2500%,-2.2500%,-0.2200%,-1.2300%,-0.0500%,0.2600%
31/12/2025,0.4900%,0.6000%,0.5500%,0.4800%,0.3500%,0.1800%,0.4300%,0.4400%,0.3700%,0.2300%,0.1200%,0.1300%,0.0900%,0.1400%,0.0300%,0.3300%,-0.4000%,1.2700%,-0.2600%,0.8500%,0.3900%,-0.8700%
31/01/2026,0.8400%,0.9100%,0.9500%,0.7800%,0.6200%,0.3700%,0.4500%,0.7000%,0.6400%,0.5200%,0.3900%,0.2800%,-0.0700%,0.4300%,0.2800%,0.3000%,0.2600%,1.6700%,0.2800%,2.0500%,0.0200%,-2.7400%
28/02/2026,1.3400%,1.1700%,1.0500%,0.8700%,0.7100%,0.5700%,1.6600%,1.6200%,1.5400%,1.2300%,1.0200%,0.7100%,1.3700%,1.2300%,0.6200%,0.2800%,1.0000%,3.7400%,0.9100%,1.2700%,1.3500%,-1.0400%
31/03/2026,-5.2300%,-4.3400%,-3.0900%,-2.5500%,-1.5500%,-1.0400%,-4.8400%,-4.5500%,-3.9200%,-2.9900%,-2.1600%,-1.1000%,-4.7300%,-3.1700%,-1.1700%,0.3500%,-1.4200%,-6.3600%,-1.6400%,-7.2800%,-5.1400%,-2.2300%
30/04/2026,2.8900%,2.6000%,2.0100%,1.6200%,1.0300%,0.6800%,4.2100%,3.9800%,3.3400%,2.4200%,1.6500%,0.8700%,3.8900%,2.7500%,0.8700%,0.3400%,0.2000%,2.0400%,0.2800%,2.1300%,4.1600%,4.2800%
31/05/2026,3.4700%,2.9700%,2.3600%,1.9100%,1.2900%,0.9000%,3.1500%,3.0000%,2.5800%,1.9700%,1.5000%,0.8800%,2.4100%,1.6700%,0.7700%,0.3400%,0.9000%,1.1100%,0.9200%,1.3900%,5.7700%,4.1900%
30/06/2026,2.3100%,2.2800%,2.0200%,1.7800%,1.4300%,0.8900%,1.4200%,1.2500%,1.1600%,0.9800%,0.8300%,0.6800%,1.4000%,1.0400%,0.6200%,0.3800%,0.5900%,0.6900%,0.7400%,0.3500%,3.7500%,2.9300%
"Not all investment options will have investment returns reported against each investment period due to varying commencement dates. Please note that the monthly returns are provided only for comparison purposes. These returns are not used for crediting returns to your account. The declared net investment returns can be positive or negative. Past performance is not a reliable indicator of future performance and should never be the sole factor considered when selecting a superannuation fund. This information is general advice only and does not take into account your personal objectives, financial situation or needs. You should consider if this information is appropriate for you in light of your circumstances before acting on it. Please read the Hostplus Product Disclosure Statement (PDS) relevant for your product, available at hostplus.com.au/pds before making a decision about Hostplus. For a description of the target market, please read the Target Market Determination (TMD), available at hostplus.com.au/ddo. You may also find it beneficial to obtain advice from a licensed financial adviser. Hostplus excludes all liability whatsoever arising from the use of, or reliance on, the information provided. Issued by Host-Plus Pty Limited ABN 79 008 634 704, AFSL 244392 as trustee for the Hostplus Superannuation Fund (the Fund) ABN 68 657 495 890, MySuper No 68 657 495 890 198."
"Growth option was previously referred to as Shares Plus. Conservative Balanced, Capital Stable, Diversified Fixed Interest options have been renamed Conservative, Stable and Bonds."
